building_number,c_desktop,c_laptop,c_server
14,13,2.0,0.0
15,208,37.0,10.0
16,477,42.0,12.0
17,95,22.0,0.0
18,86,7.0,0.0
22,302,5.0,9.0
26,10,1.0,0.0
29,113,36.0,0.0
30,365,44.0,3.0
32,10,1.0,3.0
33,1081,82.0,32.0
34,328,17.0,1.0
35,301,1.0,0.0
37,784,105.0,129.0
38,48,4.0,0.0
39,272,19.0,4.0
40,186,13.0,0.0
41,198,33.0,3.0
42,90,4.0,0.0
43,15,0.0,0.0
50,2,8.0,300.0
51,136,32.0,4.0
54,368,55.0,0.0
55,391,69.0,12.0
56,65,5.0,0.0
57,62,0.0,0.0
58,351,66.0,2.0
59,381,28.0,1.0
60,12,0.0,0.0
62,227,2.0,44.0
63,201,26.0,5.0
64,105,8.0,7.0
65,1,0.0,0.0
67,29,0.0,0.0
70,294,4.0,0.0
71,173,16.0,1.0
72,1041,167.0,19.0
74,335,72.0,0.0
90,92,7.0,0.0
93,189,14.0,16.0
93A,76,3.0,0.0
95,59,0.0,0.0
96,52,7.0,0.0
97,43,9.0,2.0
98,230,35.0,2.0
