building_number,r_domestic,r_industrial,r_other
15,7.0,0.0,0.0
16,1.0,0.0,0.0
17,5.0,0.0,0.0
18,4.0,0.0,0.0
22,2.0,0.0,0.0
26,2.0,0.0,0.0
29,11.0,6.0,6.0
30,2.0,0.0,0.0
33,8.0,0.0,0.0
34,6.0,0.0,0.0
38,0.0,2.0,0.0
39,27.0,6.0,9.0
40,25.0,12.0,7.0
41,4.0,0.0,6.0
42,9.0,4.0,3.0
51,9.0,0.0,5.0
55,3.0,0.0,1.0
56,3.0,0.0,0.0
58,5.0,1.0,1.0
59,9.0,2.0,4.0
60,0.0,1.0,0.0
62,16.0,6.0,8.0
63,13.0,1.0,1.0
64,9.0,0.0,0.0
65,1.0,0.0,0.0
70,12.0,0.0,0.0
71,10.0,0.0,1.0
72,16.0,2.0,0.0
74,1.0,0.0,0.0
93,1.0,0.0,0.0
93A,27.0,0.0,0.0
95,1.0,0.0,2.0
96,8.0,0.0,1.0
98,4.0,0.0,0.0
