building_number,label
Building 14,0
Building 15-16,0
Building 17,0
Building 18,0
Building 22,0
Building 25,0
Building 26,0
Building 28,0
Building 29,1
Building 30,0
Building 32,0
Building 33,1
Building 34,0
Building 35,0
Building 37,0
Building 38,1
Building 39,1
Building 40,1
Building 41,1
Building 42,1
Building 50,0
Building 51,1
Building 54,1
Building 55,1
Building 56,0
Building 57,1
Building 58,1
Building 59,1
Building 60,1
Building 62,1
Building 63,1
Building 64,1
Building 65,0
Building 70,0
Building 71,0
Building 72,0
Entrance Gate,0
Building 74,0
Building 90,0
Building 92,0
Building 93,0
Building 93A,0
Building 94,0
Building 95,1
Building 96,1
Building 97,0
Building 98,0
