Date,Quantity
01/12/2018,16.99
01/12/2018,20.00
01/12/2018,22.99
01/12/2018,19.99
01/12/2018,19.99
01/12/2018,19.99
01/12/2018,20.00
02/01/2019,19.99
02/01/2019,19.99
02/01/2019,17.99
02/01/2019,20.00
02/01/2019,20.00
07/01/2019,17.00
07/01/2019,19.99
07/01/2019,21.59
07/01/2019,16.99
07/01/2019,16.99
07/01/2019,20.99
03/02/2019,16.99
03/02/2019,17.00
03/02/2019,19.99
03/02/2019,19.99
03/02/2019,20.99
03/02/2019,16.99
03/02/2019,21.59
03/02/2019,22.99
03/02/2019,20.99
04/03/2019,19.29
04/03/2019,19.99
04/03/2019,21.15
04/03/2019,17.99
17/03/2019,20.00
17/03/2019,19.99
17/03/2019,20.99
17/03/2019,19.29
08/04/2019,21.15
28/04/2019,16.99
