roofs,area_sm,parking,area_sm,north_campus,area_sm
Building 14,674,1,4866,No Dormitories,154024
Building 15-16,1932,2,10301,Dormitories,30196
Building 17,632,3,1859,,
Building 18,725,4,4391,,
Building 22,2752,5,2262,,
Building 25,1097,6,2990,,
Building 26,2138,7,2192,,
Building 28,647,8,316,,
Building 29,868,,,,
Building 30,852,,,,
Building 32,676,,,,
Building 33,811,,,,
Building 34,1311,,,,
Building 35,470,,,,
Building 37,1090,,,,
Building 38,727,,,,
Building 39,1138,,,,
Building 40,685,,,,
Building 41,1508,,,,
Building 42,1590,,,,
Building 43,1220,,,,
Building 50,2025,,,,
Building 51,1588,,,,
Building 54,1617,,,,
Building 55,1377,,,,
Building 56,304,,,,
Building 57,1641,,,,
Building 58,938,,,,
Building 59,942,,,,
Building 60,1168,,,,
Building 61,454,,,,
Building 62,861,,,,
Building 63,929,,,,
Building 64,693,,,,
Building 65,1691,,,,
Building 67,1912,,,,
Building 70,3867,,,,
Building 71,1539,,,,
Entrance Gate,360,,,,
Building 72,3951,,,,
Building 73,427,,,,
Building 74,1711,,,,
Building 90,2622,,,,
Building 91,475,,,,
Building 92,702,,,,
Building 93,499,,,,
Building 93A,422,,,,
Building 94,558,,,,
Building 95,1047,,,,
Building 96,1113,,,,
Building 97,809,,,,
Building 98,1356,,,,
